"","PLOT","INVYR","COUNTYCD","SUBP","TREE","SPCD","DIA","HT"
"507127",142,2001,3,4,5,121,9,79
"507128",142,2001,3,4,6,121,15.1,94
"507219",151,2001,3,1,4,121,2,24
"507220",151,2001,3,1,5,121,2.8,26
"507222",151,2001,3,1,7,121,4,34
"507224",151,2001,3,1,1,121,3.4,30
"507233",151,2001,3,1,15,121,4.5,33
"507243",151,2001,3,3,1,121,2.1,20
"507247",151,2001,3,3,5,121,2,19
"507249",151,2001,3,3,7,121,1.6,17
"507250",151,2001,3,3,8,121,1.2,13
"507277",159,2001,3,1,1,121,1.7,11
"507285",159,2001,3,2,4,121,1,9
"507287",159,2001,3,2,6,121,2.6,18
"507288",159,2001,3,2,7,121,2.9,18
"507289",159,2001,3,2,8,121,1.7,11
"507290",159,2001,3,2,9,121,1,8
"507296",159,2001,3,4,1,121,1.2,7
"507298",159,2001,3,4,3,121,1.2,7
"507299",159,2001,3,4,4,121,2.1,13
"507300",159,2001,3,4,5,121,1.8,14
"507301",159,2001,3,4,6,121,1.3,9
"507345",167,2001,3,1,7,121,1.4,13
"507359",167,2001,3,4,2,121,7,51
"507360",167,2001,3,4,3,121,8.1,48
"507361",167,2001,3,4,4,121,10.3,59
"536801",3,2002,3,1,4,121,12.4,76
"536803",3,2002,3,2,1,121,13.1,76
"536807",3,2002,3,3,1,121,6.3,57
"536808",3,2002,3,3,2,121,6.8,55
"536810",3,2002,3,3,4,121,12.7,72
"536811",3,2002,3,4,1,121,10.5,61
"536812",3,2002,3,4,2,121,10.9,70
"536813",3,2002,3,4,3,121,8.5,55
"536814",3,2002,3,4,4,121,5.9,47
"537187",63,2002,3,1,1,121,18.6,62
"537193",63,2002,3,2,3,121,11.7,75
"537194",63,2002,3,2,4,121,7.2,47
"537241",80,2002,3,1,1,121,15.8,104
"537242",80,2002,3,1,2,121,15.7,98
"537243",80,2002,3,3,1,121,13.7,91
"537244",80,2002,3,3,2,121,5.7,50
"537245",80,2002,3,3,3,121,15.9,92
"537246",80,2002,3,3,4,121,5.4,33
"537247",80,2002,3,4,1,121,13,90
"537248",80,2002,3,4,2,121,13,88
"537410",111,2002,3,1,2,121,14,73
"537411",111,2002,3,1,3,121,9.9,59
"537412",111,2002,3,1,4,121,12.1,61
"537420",111,2002,3,3,2,121,8.7,50
"537421",111,2002,3,3,3,121,9.5,63
"537422",111,2002,3,3,4,121,11.6,65
"537426",111,2002,3,4,1,121,5.5,53
"537427",111,2002,3,4,5,121,11.1,70
"537428",111,2002,3,4,2,121,15,74
"537429",111,2002,3,4,3,121,11.3,78
"537431",111,2002,3,4,6,121,11.5,58
"537432",111,2002,3,4,7,121,5.2,47
"537436",111,2002,3,4,11,121,3.5,38
"537438",118,2002,3,1,1,121,9.2,51
"537439",118,2002,3,2,1,121,6.3,43
"537440",118,2002,3,2,2,121,1.5,15
"537441",118,2002,3,2,3,121,1.7,15
"537442",118,2002,3,2,4,121,1.9,15
"537443",118,2002,3,3,1,121,15.5,87
"537444",118,2002,3,3,2,121,7.6,52
"537445",118,2002,3,3,3,121,2.4,14
"537446",118,2002,3,4,1,121,17.1,80
"537447",118,2002,3,4,2,121,17.8,75
"537505",128,2002,3,3,1,121,9.15,61
"537506",128,2002,3,4,1,121,6,36
"537651",164,2002,3,1,1,121,2.9,20
"537653",164,2002,3,2,2,121,3.4,22
"537655",164,2002,3,3,1,121,6.8,42
"537656",164,2002,3,3,2,121,15,78
"537657",164,2002,3,3,3,121,13.8,72
"537660",164,2002,3,3,6,121,1.7,12
"537663",164,2002,3,4,1,121,12.4,64
"537664",164,2002,3,4,2,121,9.9,68
"537665",164,2002,3,4,3,121,13.2,74
"567069",21,2003,3,1,6,121,12.6,66
"567142",36,2003,3,4,1,121,10.3,55
"567212",73,2003,3,1,5,121,13.6,95
"567215",73,2003,3,2,1,121,17.1,92
"567216",73,2003,3,2,2,121,17.9,84
"567309",97,2003,3,4,1,121,13.9,82
"567310",97,2003,3,4,2,121,15.7,82
"567504",132,2003,3,3,1,121,16.9,86
"567517",137,2003,3,2,2,121,12.2,58
"567526",143,2003,3,1,2,121,7.9,50
"567527",143,2003,3,1,3,121,13,92
"567528",143,2003,3,1,4,121,10.9,87
"567529",143,2003,3,1,5,121,8.5,56
"567534",143,2003,3,2,3,121,14.2,83
"567551",143,2003,3,4,1,121,13.7,69
"567552",143,2003,3,4,2,121,12,57
"567553",152,2003,3,1,1,121,8.5,51
"567621",163,2003,3,1,3,121,9.4,58
"567622",163,2003,3,1,4,121,6.5,43
"567631",163,2003,3,1,13,121,5.8,36
"597988",31,2004,3,1,1,121,4.5,43
"598002",31,2004,3,3,2,121,7.9,51
"598003",31,2004,3,3,3,121,7.5,55
"598004",31,2004,3,3,4,121,14.2,52
"598008",31,2004,3,3,8,121,1.3,14
"598122",61,2004,3,3,1,121,10,55
"598123",61,2004,3,3,2,121,6.7,54
"598124",61,2004,3,3,3,121,11,58
"598130",61,2004,3,4,5,121,13.5,54
"598180",74,2004,3,1,1,121,14,69
"598185",74,2004,3,1,6,121,2.8,31
"598186",74,2004,3,1,7,121,2.7,24
"598188",74,2004,3,2,2,121,6.8,55
"598189",74,2004,3,2,3,121,2.9,30
"598190",74,2004,3,2,4,121,2.8,27
"598191",74,2004,3,2,5,121,1.3,14
"598192",74,2004,3,2,6,121,5,27
"598193",74,2004,3,2,7,121,5.9,45
"598194",74,2004,3,2,8,121,2.2,18
"598195",74,2004,3,3,1,121,7,49
"598196",74,2004,3,3,2,121,11.7,56
"598198",74,2004,3,3,4,121,12.6,60
"598199",74,2004,3,3,5,121,7.7,39
"598200",74,2004,3,3,6,121,1.9,19
"598204",74,2004,3,4,4,121,11.6,57
"598205",74,2004,3,4,5,121,6.3,51
"598259",86,2004,3,1,7,121,1.5,11
"598261",86,2004,3,2,1,121,5.9,38
"598267",86,2004,3,2,7,121,1.9,22
"598268",86,2004,3,2,8,121,5.3,37
"598269",86,2004,3,2,9,121,6,38
"598270",86,2004,3,2,10,121,6.4,40
"598271",86,2004,3,2,11,121,5.1,36
"598272",86,2004,3,2,12,121,5.7,37
"598273",86,2004,3,2,13,121,1.5,17
"598274",86,2004,3,2,14,121,1.7,12
"598275",86,2004,3,2,15,121,1.1,7
"598276",86,2004,3,2,16,121,4,32
"598277",86,2004,3,2,17,121,1.1,8
"598278",86,2004,3,3,1,121,5.4,37
"598279",86,2004,3,3,2,121,5.6,41
"598280",86,2004,3,3,3,121,5.4,42
"598281",86,2004,3,3,4,121,5.1,41
"598282",86,2004,3,3,5,121,5.5,38
"598283",86,2004,3,3,6,121,6.1,36
"598284",86,2004,3,3,10,121,2.9,26
"598285",86,2004,3,3,7,121,5,35
"598286",86,2004,3,3,8,121,3.9,33
"598287",86,2004,3,3,9,121,2.5,23
"598288",86,2004,3,4,1,121,3.2,29
"598289",86,2004,3,4,2,121,1.8,19
"598290",86,2004,3,4,3,121,3.7,29
"598291",86,2004,3,4,4,121,6.4,38
"598292",86,2004,3,4,5,121,5,37
"598293",86,2004,3,4,6,121,5.3,39
"598294",86,2004,3,4,7,121,5.2,38
"598295",86,2004,3,4,8,121,4.5,37
"598297",86,2004,3,4,10,121,3.5,37
"598298",86,2004,3,4,11,121,3.3,32
"598299",86,2004,3,4,12,121,1.6,15
"598300",86,2004,3,4,13,121,1.8,18
"598301",86,2004,3,4,14,121,2.1,16
"598302",86,2004,3,4,15,121,4.8,37
"598303",86,2004,3,4,16,121,2.1,19
"598381",94,2004,3,1,1,121,5.5,53
"598382",94,2004,3,1,2,121,7.2,62
"598384",94,2004,3,1,4,121,7.8,65
"598385",94,2004,3,1,5,121,7.1,68
"598386",94,2004,3,1,6,121,9.8,70
"598387",94,2004,3,1,7,121,10.4,65
"598388",94,2004,3,1,8,121,3.5,39
"598389",94,2004,3,2,1,121,7.65,57
"598390",94,2004,3,2,2,121,8.05,60
"598392",94,2004,3,2,3,121,5.95,46
"598393",94,2004,3,2,4,121,7.35,61
"598394",94,2004,3,2,5,121,8.45,60
"598395",94,2004,3,3,1,121,5.5,54
"598396",94,2004,3,3,2,121,12.5,74
"598397",94,2004,3,3,3,121,7.6,58
"598398",94,2004,3,3,4,121,5,53
"598399",94,2004,3,3,5,121,8.2,72
"598400",94,2004,3,3,6,121,13.2,79
"598401",94,2004,3,3,7,121,8.7,72
"598402",94,2004,3,3,8,121,9.3,72
"598403",94,2004,3,3,9,121,8.1,67
"598404",94,2004,3,3,10,121,5.5,65
"598405",94,2004,3,3,11,121,6.4,66
"598406",94,2004,3,3,12,121,2.9,40
"598407",94,2004,3,3,13,121,4.7,55
"598408",94,2004,3,3,14,121,5.1,53
"598409",94,2004,3,4,1,121,5.75,52
"598410",94,2004,3,4,2,121,5.95,48
"598411",94,2004,3,4,3,121,6.85,56
"598412",94,2004,3,4,4,121,6.75,55
"598413",94,2004,3,4,5,121,5.73,56
"598414",94,2004,3,4,6,121,7.08,56
"598415",94,2004,3,4,7,121,7.55,57
"598416",94,2004,3,4,8,121,6.58,54
"598417",94,2004,3,4,9,121,5.48,52
"598418",94,2004,3,4,10,121,6.45,51
"598419",94,2004,3,4,11,121,5.85,55
"598420",94,2004,3,4,12,121,6.88,57
"598421",94,2004,3,4,13,121,7.48,57
"598422",94,2004,3,4,14,121,5.85,54
"598423",94,2004,3,4,15,121,8.78,60
"598520",114,2004,3,2,4,121,7.8,75
"598523",114,2004,3,3,1,121,11,75
"598624",125,2004,3,1,1,121,9.6,61
"598625",125,2004,3,1,2,121,8.9,69
"598629",125,2004,3,1,6,121,10.1,64
"598632",125,2004,3,3,1,121,10.4,79
"598633",125,2004,3,3,2,121,8.17,68
"598634",125,2004,3,3,3,121,6.9,52
"598635",125,2004,3,3,4,121,8.87,66
"598636",125,2004,3,3,5,121,8.77,65
"598637",125,2004,3,3,6,121,7.47,70
"598638",125,2004,3,3,7,121,13,79
"598639",125,2004,3,4,1,121,12.29,78
"598761",145,2004,3,3,13,121,5.5,41
"598782",145,2004,3,4,15,121,4.7,39
"598786",147,2004,3,1,2,121,6.5,34
"598788",147,2004,3,2,2,121,5.6,49
"598791",147,2004,3,2,5,121,8.5,52
"598792",147,2004,3,2,6,121,7.2,44
"598798",147,2004,3,3,1,121,6.7,38
"598799",147,2004,3,3,3,121,7.3,43
"598800",147,2004,3,3,2,121,5.9,37
"598801",147,2004,3,3,4,121,5.5,35
"598803",147,2004,3,4,2,121,5.1,31
"598804",147,2004,3,4,3,121,7.2,40
"598805",147,2004,3,4,4,121,4.5,39
"629868",178,2005,3,1,1,121,15.1,46
"629871",178,2005,3,2,1,121,9.1,51
"629873",178,2005,3,2,3,121,7.5,45
"629874",178,2005,3,2,4,121,8.8,41
"629876",178,2005,3,2,6,121,14.6,49
"629880",178,2005,3,3,1,121,10.02,49
"629883",178,2005,3,3,5,121,10.82,72
"629912",183,2005,3,4,1,121,16.2,78
"629914",183,2005,3,4,3,121,8.1,60
"630291",200,2005,3,1,2,121,13.6,68
"630292",200,2005,3,1,3,121,8.4,66
"630299",200,2005,3,2,1,121,8.6,72
"630301",200,2005,3,2,3,121,11.4,70
"630302",200,2005,3,2,4,121,10.8,73
"630303",200,2005,3,3,2,121,14.5,73
"630309",200,2005,3,3,5,121,13.7,72
"630310",200,2005,3,3,6,121,12.6,70
"630317",200,2005,3,4,2,121,10.8,61
"630319",200,2005,3,4,4,121,8.1,58
"630320",200,2005,3,4,5,121,9.69,60
"630321",200,2005,3,4,6,121,7.89,63
"630481",206,2005,3,2,2,121,15,81
"630484",206,2005,3,2,1,121,9.6,69
"630485",206,2005,3,2,3,121,15.5,91
"630486",206,2005,3,2,4,121,14.6,79
"630538",207,2005,3,4,5,121,2.9,17
"630539",207,2005,3,4,6,121,3.1,15
"630617",214,2005,3,1,3,121,13.5,76
"630622",214,2005,3,1,8,121,13,81
"630636",214,2005,3,3,4,121,12.7,78
"630637",214,2005,3,3,5,121,14.6,75
"630660",217,2005,3,1,1,121,9.64,67
"630661",217,2005,3,1,2,121,9.64,55
"630662",217,2005,3,1,3,121,8.9,54
"630665",217,2005,3,1,7,121,5.7,56
"630666",217,2005,3,1,8,121,5.5,45
"630667",217,2005,3,1,9,121,5.5,48
"630669",217,2005,3,1,11,121,3.3,33
"630670",217,2005,3,2,1,121,7.5,54
"630671",217,2005,3,2,2,121,6.8,48
"630673",217,2005,3,2,4,121,5.5,38
"630674",217,2005,3,2,5,121,8.32,61
"630675",217,2005,3,2,6,121,6.6,50
"630676",217,2005,3,2,7,121,7.1,59
"630678",217,2005,3,2,9,121,1.3,13
"630679",217,2005,3,2,10,121,1.2,13
"630680",217,2005,3,2,11,121,1.8,23
"630681",217,2005,3,2,12,121,2.8,29
"630684",217,2005,3,2,15,121,2.4,27
"630689",217,2005,3,2,20,121,1.5,18
"630691",217,2005,3,3,2,121,10.9,65
"630694",217,2005,3,3,5,121,6.1,49
"630697",217,2005,3,4,3,121,9.32,53
"630699",217,2005,3,4,1,121,9.7,52
"630702",217,2005,3,4,5,121,3.5,38
"630706",217,2005,3,4,9,121,1.7,18
"630709",217,2005,3,4,12,121,5.3,48
"630710",217,2005,3,4,13,121,5.6,46
"630711",217,2005,3,4,14,121,1.2,12
"630712",217,2005,3,4,15,121,1.6,15
"630713",217,2005,3,4,16,121,1.9,22
"630714",219,2005,3,2,1,121,2.2,9
"630715",219,2005,3,2,2,121,1.2,6
"664356",4,2006,3,1,4,121,2.8,12
"664357",4,2006,3,2,1,121,11.7,68
"664358",4,2006,3,2,2,121,11.1,67
"664359",4,2006,3,2,3,121,12.5,70
"664482",17,2006,3,1,1,121,16.09,87
"664486",17,2006,3,1,2,121,11.67,83
"664487",17,2006,3,1,3,121,8.3,74
"664488",17,2006,3,1,4,121,12.6,85
"664489",17,2006,3,1,5,121,15.79,81
"664492",17,2006,3,2,1,121,10.15,78
"664493",17,2006,3,2,2,121,11.67,82
"664494",17,2006,3,2,3,121,11.47,83
"664495",17,2006,3,2,4,121,7.6,72
"664496",17,2006,3,2,5,121,9.3,74
"664497",17,2006,3,2,6,121,13.6,80
"664498",17,2006,3,2,9,121,1.82,16
"664499",17,2006,3,2,10,121,5,43
"664500",17,2006,3,2,11,121,5.1,44
"664501",17,2006,3,3,1,121,12.3,82
"664502",17,2006,3,3,2,121,13.1,86
"664503",17,2006,3,3,3,121,12.2,88
"664504",17,2006,3,3,4,121,6.2,51
"664505",17,2006,3,3,5,121,17.92,87
"664506",17,2006,3,3,6,121,11.6,84
"664507",17,2006,3,3,7,121,5.9,60
"664508",17,2006,3,3,8,121,7.3,69
"664908",151,2006,3,1,15,121,6.2,49
"664915",151,2006,3,1,19,121,5.7,48
"664956",159,2006,3,1,6,121,5.3,39
"664958",159,2006,3,2,4,121,1.63,9
"664960",159,2006,3,2,6,121,4.1,31
"664961",159,2006,3,2,7,121,5.4,35
"664962",159,2006,3,2,8,121,2.7,24
"664963",159,2006,3,2,9,121,1.63,8
"664972",159,2006,3,4,1,121,2.2,27
"664974",159,2006,3,4,3,121,2.9,32
"664975",159,2006,3,4,4,121,4.5,33
"664976",159,2006,3,4,5,121,3.3,29
"664977",159,2006,3,4,6,121,2,18
"664978",159,2006,3,4,7,121,5.9,38
"664979",159,2006,3,4,8,121,5.2,35
"664980",159,2006,3,4,9,121,1.8,17
"665021",167,2006,3,1,7,121,1.7,19
"665022",167,2006,3,1,8,121,5.8,37
"665034",167,2006,3,4,2,121,7.6,53
"665035",167,2006,3,4,3,121,9.3,52
"665036",167,2006,3,4,4,121,11.8,64
"686400",47,2007,3,2,1,121,20.5,78
"686405",47,2007,3,3,1,121,8.4,51
"686406",47,2007,3,3,5,121,19.41,80
"686407",47,2007,3,3,2,121,18.87,79
"686691",111,2007,3,1,2,121,14.4,74
"686692",111,2007,3,1,3,121,10.2,68
"686693",111,2007,3,1,4,121,12.3,67
"686702",111,2007,3,3,2,121,9.21,51
"686703",111,2007,3,3,3,121,9.96,64
"686704",111,2007,3,3,4,121,11.98,66
"686709",111,2007,3,4,1,121,5.7,45
"686710",111,2007,3,4,2,121,15,76
"686711",111,2007,3,4,3,121,11.5,76
"686713",111,2007,3,4,5,121,11.3,66
"686714",111,2007,3,4,6,121,11.6,57
"686715",111,2007,3,4,7,121,5.9,47
"686717",111,2007,3,4,13,121,5.7,44
"686719",118,2007,3,2,1,121,8.1,49
"686720",118,2007,3,1,1,121,9.68,52
"686721",118,2007,3,1,2,121,5.3,40
"686722",118,2007,3,1,3,121,5.9,44
"686723",118,2007,3,3,1,121,15.81,88
"686724",118,2007,3,3,2,121,7.4,51
"686725",118,2007,3,3,3,121,5.1,34
"686726",118,2007,3,3,4,121,5.1,33
"686727",118,2007,3,4,1,121,17.44,81
"686728",118,2007,3,4,2,121,18.14,76
"686729",118,2007,3,4,3,121,1.7,17
"686730",118,2007,3,4,4,121,2.5,23
"706791",3,2008,3,1,4,121,12.82,77
"706793",3,2008,3,2,1,121,13.46,77
"706799",3,2008,3,3,4,121,13.12,73
"706800",3,2008,3,4,2,121,10.9,70
"706937",63,2008,3,1,1,121,19,66
"706943",63,2008,3,2,3,121,13.3,70
"706980",68,2008,3,3,7,121,2.8,24
"706981",68,2008,3,3,8,121,1.6,15
"706982",68,2008,3,3,9,121,2.5,20
"706990",80,2008,3,1,1,121,16.13,105
"706991",80,2008,3,1,2,121,16.8,96
"706992",80,2008,3,3,1,121,14.8,94
"706993",80,2008,3,3,2,121,6.8,54
"706994",80,2008,3,3,3,121,16.23,93
"706995",80,2008,3,3,4,121,7.5,30
"706996",80,2008,3,4,1,121,13.5,88
"706997",80,2008,3,4,2,121,14.2,89
"707145",128,2008,3,3,3,121,3.6,16
"707146",128,2008,3,3,4,121,1.1,8
"707147",128,2008,3,3,5,121,2.3,15
"707148",128,2008,3,4,1,121,7,38
"707149",128,2008,3,4,2,121,1.3,14
"707151",128,2008,3,4,4,121,1.8,16
"707152",128,2008,3,4,5,121,2.1,17
"707155",137,2008,3,2,2,121,12.5,64
"707162",143,2008,3,1,3,121,13.34,93
"707165",143,2008,3,1,2,121,9.1,53
"707166",143,2008,3,1,4,121,11.8,79
"707167",143,2008,3,1,5,121,8.9,55
"707172",143,2008,3,2,3,121,15.5,78
"707190",143,2008,3,4,1,121,13.9,68
"707191",143,2008,3,4,2,121,12.2,57
"707246",164,2008,3,1,2,121,5.1,40
"707247",164,2008,3,1,3,121,6.4,37
"707249",164,2008,3,2,4,121,5.5,38
"707250",164,2008,3,2,5,121,5.7,39
"707251",164,2008,3,2,6,121,6,42
"707252",164,2008,3,2,7,121,5.3,42
"707253",164,2008,3,2,8,121,5,36
"707254",164,2008,3,2,9,121,5.2,42
"707255",164,2008,3,2,10,121,5.3,44
"707256",164,2008,3,3,1,121,7.3,46
"707257",164,2008,3,3,2,121,15.7,75
"707258",164,2008,3,3,3,121,14.1,73
"707261",164,2008,3,4,1,121,14,68
"707262",164,2008,3,4,2,121,10.6,70
"707263",164,2008,3,4,3,121,14.1,77
"728797",97,2009,3,3,5,121,1.9,18
"728798",97,2009,3,4,1,121,15.3,88
"728799",97,2009,3,4,2,121,16.8,95
"728987",132,2009,3,3,1,121,17.22,87
"729040",142,2009,3,4,1,121,13.8,74
"729041",142,2009,3,4,2,121,13.3,83
"729042",142,2009,3,4,3,121,13.6,82
"729043",142,2009,3,4,4,121,14.6,86
"729044",142,2009,3,4,5,121,8.7,78
"729045",142,2009,3,4,6,121,15.7,83
"729052",152,2009,3,1,1,121,9.05,53
"729084",163,2009,3,1,4,121,7.03,44
"729092",163,2009,3,1,13,121,6.33,37
"729147",230,2009,3,1,2,121,9.6,56
"729155",230,2009,3,1,10,121,14.7,83
"729156",230,2009,3,2,1,121,17.9,96
"729157",230,2009,3,2,2,121,10.3,80
"729158",230,2009,3,2,3,121,11.6,85
"729159",230,2009,3,2,4,121,7.1,72
"729160",230,2009,3,2,5,121,11.4,86
"729161",230,2009,3,2,6,121,10.2,83
"729162",230,2009,3,2,7,121,11.1,81
"750580",61,2010,3,3,1,121,10.52,56
"750581",61,2010,3,3,2,121,7.28,56
"750582",61,2010,3,3,3,121,11.52,59
"750589",61,2010,3,4,5,121,13.6,54
"750635",74,2010,3,1,1,121,14.5,63
"750640",74,2010,3,1,7,121,3.3,35
"750642",74,2010,3,2,2,121,7.3,55
"750643",74,2010,3,2,3,121,3.72,30
"750644",74,2010,3,2,6,121,6.2,35
"750645",74,2010,3,2,7,121,6.48,47
"750646",74,2010,3,2,8,121,3,29
"750647",74,2010,3,3,1,121,7.7,50
"750648",74,2010,3,3,2,121,12.8,56
"750650",74,2010,3,3,4,121,13.03,61
"750651",74,2010,3,3,5,121,8.28,40
"750652",74,2010,3,3,6,121,2.3,22
"750656",74,2010,3,4,4,121,13.3,58
"750657",74,2010,3,4,5,121,7.8,56
"750669",86,2010,3,1,7,121,1.7,15
"750670",86,2010,3,1,9,121,5,40
"750671",86,2010,3,1,10,121,5,37
"750675",86,2010,3,2,1,121,7.3,46
"750677",86,2010,3,2,8,121,6.9,45
"750678",86,2010,3,2,9,121,8.7,48
"750679",86,2010,3,2,10,121,8.3,48
"750680",86,2010,3,2,11,121,6.6,44
"750681",86,2010,3,2,12,121,7.5,47
"750682",86,2010,3,2,13,121,1.5,16
"750683",86,2010,3,2,14,121,2,18
"750684",86,2010,3,2,15,121,1.6,13
"750685",86,2010,3,2,16,121,4.7,42
"750686",86,2010,3,2,17,121,1.6,13
"750687",86,2010,3,2,18,121,6.1,44
"750688",86,2010,3,2,19,121,5.9,44
"750689",86,2010,3,2,20,121,6,43
"750690",86,2010,3,2,21,121,5.9,59
"750691",86,2010,3,2,22,121,1.1,10
"750692",86,2010,3,3,1,121,6.8,51
"750693",86,2010,3,3,2,121,6.6,49
"750694",86,2010,3,3,3,121,6.8,53
"750695",86,2010,3,3,4,121,6.7,51
"750696",86,2010,3,3,5,121,7.2,53
"750697",86,2010,3,3,6,121,7.3,52
"750698",86,2010,3,3,7,121,6.2,52
"750699",86,2010,3,3,8,121,4.8,37
"750700",86,2010,3,3,9,121,2.9,28
"750701",86,2010,3,3,10,121,3.68,26
"750702",86,2010,3,3,14,121,6.5,50
"750703",86,2010,3,3,11,121,6.6,50
"750704",86,2010,3,3,12,121,5.1,50
"750705",86,2010,3,3,13,121,5.9,50
"750706",86,2010,3,3,15,121,5,44
"750707",86,2010,3,3,16,121,5.2,48
"750708",86,2010,3,3,17,121,5.8,50
"750709",86,2010,3,3,18,121,5.5,48
"750710",86,2010,3,3,19,121,5.8,48
"750711",86,2010,3,3,20,121,5.9,48
"750712",86,2010,3,3,21,121,5.1,45
"750713",86,2010,3,4,4,121,8.2,46
"750714",86,2010,3,4,5,121,6.5,47
"750715",86,2010,3,4,6,121,6.7,47
"750716",86,2010,3,4,7,121,6.5,48
"750717",86,2010,3,4,8,121,5.6,45
"750719",86,2010,3,4,10,121,4,42
"750720",86,2010,3,4,11,121,4.1,38
"750721",86,2010,3,4,12,121,1.7,15
"750722",86,2010,3,4,13,121,1.9,22
"750723",86,2010,3,4,14,121,2.1,22
"750724",86,2010,3,4,15,121,5.8,44
"750725",86,2010,3,4,16,121,2.1,24
"750726",86,2010,3,4,17,121,2.1,21
"750729",86,2010,3,4,20,121,6.3,48
"750730",86,2010,3,4,21,121,5.9,48
"750731",86,2010,3,4,22,121,5.6,50
"750732",86,2010,3,4,23,121,5.7,48
"750733",86,2010,3,4,24,121,5,46
"750734",86,2010,3,4,25,121,7.7,50
"750764",94,2010,3,1,1,121,5.7,57
"750765",94,2010,3,1,2,121,7.9,68
"750767",94,2010,3,1,4,121,8.4,72
"750768",94,2010,3,1,5,121,7.69,70
"750769",94,2010,3,1,6,121,10.5,81
"750770",94,2010,3,1,8,121,4.18,39
"750771",94,2010,3,3,1,121,6.09,56
"750772",94,2010,3,3,2,121,13.1,75
"750773",94,2010,3,3,3,121,7.6,58
"750774",94,2010,3,3,4,121,5,53
"750775",94,2010,3,3,5,121,8.7,73
"750776",94,2010,3,3,8,121,10.2,76
"750777",94,2010,3,1,7,121,10.93,67
"750778",94,2010,3,3,6,121,14.1,84
"750779",94,2010,3,3,7,121,9.3,76
"750780",94,2010,3,3,9,121,8.6,67
"750781",94,2010,3,3,10,121,6.09,67
"750782",94,2010,3,3,11,121,7,63
"750783",94,2010,3,3,14,121,5.1,55
"750813",114,2010,3,2,4,121,8,80
"750820",125,2010,3,1,2,121,10.3,70
"750824",125,2010,3,1,6,121,11.3,64
"750825",125,2010,3,3,1,121,11.1,75
"750826",125,2010,3,3,3,121,7.4,52
"750827",125,2010,3,3,7,121,13.6,75
"750828",125,2010,3,3,8,121,6,51
"750834",147,2010,3,1,2,121,10,42
"750835",147,2010,3,1,3,121,6,40
"750836",147,2010,3,1,4,121,1.8,16
"750837",147,2010,3,1,5,121,1.8,15
"750840",147,2010,3,2,2,121,7.6,50
"750843",147,2010,3,2,5,121,10.6,56
"750844",147,2010,3,2,6,121,8.5,49
"750847",125,2010,3,1,1,121,10.4,63
"750855",147,2010,3,3,1,121,8.8,49
"750856",147,2010,3,3,2,121,7.3,50
"750857",147,2010,3,3,3,121,9.6,55
"750858",147,2010,3,3,4,121,7.5,47
"750861",147,2010,3,4,2,121,6.9,43
"750862",147,2010,3,4,3,121,7.71,41
"750863",147,2010,3,4,4,121,6.3,47
"750867",147,2010,3,4,8,121,5.6,42
"750873",161,2010,3,2,5,121,5.4,38
"750874",161,2010,3,2,6,121,6.4,42
"750905",170,2010,3,3,10,121,5.4,37
"774569",36,2011,3,4,1,121,12.1,59
"774606",49,2011,3,3,6,121,1.7,22
"774943",145,2011,3,1,19,121,5.8,60
"774972",145,2011,3,3,13,121,8,60
"774982",145,2011,3,4,15,121,6.6,58
"774987",145,2011,3,4,20,121,5.2,49
"774988",178,2011,3,1,1,121,15.7,48
"774990",178,2011,3,2,1,121,9.6,61
"774991",178,2011,3,2,4,121,10,57
"774994",178,2011,3,2,3,121,8.7,57
"774996",178,2011,3,2,6,121,15.3,55
"775022",183,2011,3,4,3,121,9,61
"775162",200,2011,3,1,2,121,14.4,81
"775163",200,2011,3,1,3,121,9.7,71
"775167",200,2011,3,2,1,121,9,81
"775172",200,2011,3,2,3,121,12.1,73
"775173",200,2011,3,2,4,121,11.1,74
"775176",200,2011,3,3,2,121,15.2,75
"775179",200,2011,3,3,5,121,14.8,76
"775180",200,2011,3,3,6,121,13,72
"775187",200,2011,3,4,2,121,11.6,65
"775189",200,2011,3,4,4,121,9.3,67
"775208",206,2011,3,2,1,121,10,64
"775209",206,2011,3,2,2,121,15.5,87
"775210",206,2011,3,2,3,121,15.9,97
"775211",206,2011,3,2,4,121,15,82
"775271",217,2011,3,1,3,121,9.48,56
"775276",217,2011,3,1,7,121,7,54
"775277",217,2011,3,1,8,121,6.6,48
"775278",217,2011,3,1,9,121,7,54
"775280",217,2011,3,1,11,121,4.7,40
"775281",217,2011,3,1,12,121,5.5,45
"775282",217,2011,3,2,1,121,9,59
"775283",217,2011,3,2,2,121,8.2,57
"775284",217,2011,3,2,4,121,6.7,47
"775285",217,2011,3,2,6,121,7.8,68
"775286",217,2011,3,2,7,121,8.7,59
"775290",217,2011,3,2,15,121,3.3,30
"775295",217,2011,3,2,20,121,1.6,18
"775296",217,2011,3,2,21,121,6.2,45
"775297",217,2011,3,2,22,121,5.1,33
"775300",217,2011,3,3,2,121,11.42,66
"775301",217,2011,3,3,5,121,8.1,54
"775305",217,2011,3,4,1,121,10.22,53
"775307",217,2011,3,4,15,121,2.42,15
"775308",217,2011,3,4,12,121,6.5,53
"775309",217,2011,3,4,13,121,7.1,48
"775310",217,2011,3,4,14,121,2.1,22
"775311",217,2011,3,4,16,121,2.3,22
"775312",217,2011,3,4,17,121,5.6,48
"775313",217,2011,3,4,18,121,5.2,46
